N,P,K,temperature,humidity,ph,rainfall,label
37.18,111.68,164.45,10.54,39.32,7.69,244.43,kidneybeans
2.46,80.23,96.4,40.8,25.68,6.78,77.61,grapes
41.06,122.71,70.65,13.53,29.88,3.68,129.56,cotton
108.24,9.68,36.65,14.92,27.76,7.38,279.78,lentil
72.51,56.35,38.52,35.71,53.91,7.31,54.64,lentil
48.73,38.19,137.38,40.27,82.49,4.36,91.11,orange
52.04,67.62,115.09,28.77,83.02,5.59,93.42,coconut
0.19,15.13,29.42,20.12,14.38,7.02,179.86,blackgram
41.97,138.58,27.54,22.3,16.39,4.33,135.01,chickpea
90.5,36.26,19.46,22.0,29.61,8.62,42.36,apple
136.39,134.12,153.75,21.43,30.4,3.66,196.17,cotton
118.59,64.63,147.38,18.5,17.59,4.12,47.74,wheat
3.3,142.97,16.69,31.31,41.08,4.2,189.8,grapes
125.8,82.57,117.05,41.51,57.02,6.67,161.96,jute
109.65,135.32,21.94,20.75,56.25,7.22,158.23,rice
109.25,5.75,185.75,16.53,53.47,5.92,38.9,coffee
64.12,109.75,186.42,39.35,37.09,5.23,198.98,mothbeans
55.72,131.43,144.65,35.96,66.52,8.36,140.77,chickpea
42.41,24.56,190.24,42.58,76.12,3.91,135.11,blackgram
9.2,18.46,167.29,15.79,37.7,5.18,187.01,maize
31.95,64.44,170.71,15.05,16.84,3.73,189.75,kidneybeans
34.52,135.72,118.94,28.95,33.71,3.58,24.21,cotton
67.77,80.93,66.21,31.51,20.99,5.62,55.06,lentil
104.64,78.84,48.56,26.81,47.39,4.67,86.23,lentil
66.33,24.76,70.44,30.96,22.47,5.11,209.83,chickpea
8.1,5.11,130.7,16.31,47.03,8.43,181.49,apple
134.09,118.42,39.53,26.79,27.68,4.48,232.14,cotton
131.98,17.26,56.73,33.03,69.1,8.18,227.37,apple
109.93,93.74,98.61,25.14,12.21,7.55,258.89,papaya
138.79,133.05,51.61,33.78,54.38,5.46,125.51,pigeonpeas
76.23,34.21,122.73,25.79,23.56,6.78,116.62,rice
134.79,98.14,189.64,21.68,10.08,6.17,252.68,grapes
10.58,16.02,154.62,20.63,79.54,4.27,86.53,mango
51.2,89.53,138.29,24.38,63.72,8.94,149.13,maize
31.55,27.95,121.54,10.81,17.92,6.92,74.41,coffee
27.42,108.03,102.59,33.4,63.13,8.78,275.88,wheat
19.71,47.17,42.31,39.58,58.93,8.44,134.18,jute
87.14,69.87,183.94,22.41,47.87,3.98,79.5,mothbeans
109.39,88.92,54.71,11.61,43.54,4.74,213.76,banana
80.96,28.98,23.26,44.54,80.97,4.37,88.5,wheat
20.57,108.83,155.0,19.23,29.61,8.48,284.18,pomegranate
113.56,47.37,40.12,14.43,41.86,8.67,122.93,muskmelon
89.03,97.73,79.38,22.94,36.33,6.67,206.1,kidneybeans
54.34,27.16,10.66,35.85,71.7,4.13,116.67,apple
94.38,101.34,32.41,20.29,83.32,4.31,246.03,maize
36.39,22.95,39.64,30.11,77.98,8.38,271.14,grapes
48.33,64.55,15.88,24.54,73.82,9.08,240.62,muskmelon
128.45,39.61,136.33,14.12,88.94,4.7,257.58,apple
40.67,109.77,172.4,21.56,65.77,3.57,48.53,papaya
65.8,41.68,79.66,35.37,70.08,5.49,278.74,chickpea
124.62,128.44,179.92,31.42,88.62,3.68,194.8,cotton
99.08,129.85,47.67,14.19,10.56,8.47,263.38,coconut
8.71,32.5,70.08,15.72,60.72,6.45,211.64,coconut
20.62,90.94,35.15,32.43,69.12,7.35,76.52,blackgram
1.1,17.28,129.11,38.47,83.43,5.97,190.68,pomegranate
88.33,59.82,88.97,22.23,80.71,5.57,45.46,kidneybeans
62.67,104.87,127.66,30.84,77.36,4.83,214.8,pomegranate
18.8,97.32,157.33,15.97,85.66,8.12,134.52,mango
134.11,92.46,114.14,20.9,52.99,7.67,62.49,cotton
74.15,44.56,130.53,10.71,10.55,5.66,294.18,wheat
33.87,57.92,192.05,36.89,10.88,5.43,272.3,jute
70.08,19.41,64.81,24.04,53.57,3.51,270.19,wheat
95.15,105.66,76.83,38.56,44.82,3.88,240.87,lentil
10.67,75.54,148.54,34.79,46.1,7.24,213.75,mango
38.46,104.23,127.26,39.01,42.03,6.59,203.42,kidneybeans
112.98,39.85,40.71,20.0,83.42,6.11,49.71,pomegranate
64.35,50.42,80.23,16.48,38.73,8.47,272.16,watermelon
76.52,51.79,98.57,44.02,78.5,6.52,266.72,kidneybeans
60.59,8.6,88.88,35.11,82.23,5.81,229.4,coconut
6.15,52.75,40.65,39.19,49.96,4.47,279.65,kidneybeans
23.2,117.46,189.89,10.46,45.76,8.42,174.86,mothbeans
62.38,130.62,157.46,22.41,70.88,6.96,145.34,lentil
29.29,77.55,101.27,36.0,66.64,4.05,291.03,wheat
7.0,68.77,141.01,12.73,36.28,7.39,149.96,rice
118.11,9.32,184.46,29.86,18.2,6.05,199.57,coconut
137.37,128.09,32.23,25.02,31.19,8.37,124.46,coffee
111.04,6.82,55.07,10.62,20.48,9.01,198.17,rice
119.53,137.27,113.54,18.26,33.58,7.1,221.63,chickpea
33.88,73.49,164.8,19.97,30.95,7.89,194.9,watermelon
134.49,52.87,12.25,13.92,61.02,3.84,164.08,watermelon
27.57,134.39,201.8,32.1,86.36,6.86,104.03,pigeonpeas
133.2,8.41,95.98,18.48,64.86,8.03,200.28,pigeonpeas
139.27,86.4,76.85,19.72,84.13,6.48,274.36,rice
99.64,81.85,63.54,41.44,72.73,7.06,21.94,mothbeans
137.36,35.7,39.87,26.35,68.23,8.89,57.5,kidneybeans
79.74,65.04,163.31,23.72,43.12,4.69,53.54,jute
36.34,96.32,196.08,35.34,35.98,4.09,278.5,apple
61.18,106.8,87.73,41.84,77.7,7.64,205.57,mothbeans
83.1,5.1,195.48,10.88,82.43,8.44,286.5,chickpea
10.23,136.16,169.76,25.69,46.15,8.6,183.19,maize
87.13,28.03,101.21,31.38,10.73,7.35,149.29,banana
137.36,37.7,139.81,21.15,73.4,8.5,241.86,watermelon
26.62,41.89,92.0,37.03,32.81,7.7,65.06,coconut
110.96,10.29,116.74,44.0,10.79,4.02,126.77,blackgram
127.11,22.23,16.61,43.02,74.4,8.07,150.56,cotton
132.12,143.09,144.25,19.31,51.39,4.58,103.57,banana
134.42,49.13,15.56,17.92,64.82,4.92,123.96,kidneybeans
73.0,21.14,168.42,43.51,83.18,5.87,41.87,mungbean
136.82,19.98,169.99,26.05,53.29,5.39,75.44,watermelon
106.02,105.72,52.42,17.29,50.26,5.43,113.94,mothbeans
22.63,124.64,69.73,34.74,33.25,4.52,242.85,papaya
66.77,40.97,101.26,19.95,34.42,5.26,71.1,mango
100.57,7.93,124.33,19.35,73.72,3.62,117.06,rice
34.63,36.23,62.47,40.77,45.92,6.34,38.18,pomegranate
89.69,12.91,123.5,15.69,23.08,8.11,175.99,mango
93.32,19.48,64.56,12.25,17.56,8.67,191.15,wheat
22.78,65.41,16.1,19.42,47.83,8.42,262.34,papaya
79.11,37.19,5.51,31.24,47.2,6.0,249.35,pomegranate
108.03,77.23,25.23,14.31,62.28,7.88,99.91,rice
69.85,40.49,163.45,26.51,47.69,5.23,58.35,rice
1.69,136.68,197.29,31.96,21.48,3.83,63.7,mungbean
1.27,131.83,90.39,39.71,50.62,7.56,291.31,mango
49.98,84.35,107.54,18.05,82.54,7.39,208.5,mungbean
129.67,54.62,34.37,38.61,22.76,8.31,31.92,wheat
32.01,58.36,115.21,18.22,65.18,7.2,58.3,mungbean
88.81,62.66,33.93,33.69,57.51,4.44,156.02,grapes
31.09,106.86,127.24,25.07,69.89,8.62,78.19,wheat
45.03,68.23,191.65,14.01,22.05,7.26,245.02,mango
118.73,124.94,44.14,35.0,85.33,8.35,180.5,kidneybeans
102.04,137.17,157.91,17.62,59.68,8.14,191.54,rice
13.36,52.03,9.7,16.18,77.77,5.29,149.59,blackgram
60.02,83.5,80.1,22.54,29.73,3.95,91.7,coconut
4.08,18.31,27.15,32.87,69.15,4.56,185.03,lentil
67.32,33.07,75.5,18.19,72.48,4.06,220.75,pomegranate
92.74,62.89,39.71,16.43,41.79,4.96,123.87,orange
16.59,33.87,79.66,10.35,40.72,6.26,161.38,apple
40.44,127.72,88.5,26.51,62.62,8.94,255.11,pigeonpeas
55.7,27.16,65.12,25.0,17.47,8.73,61.63,pomegranate
128.73,68.79,136.32,18.19,68.85,7.81,172.66,chickpea
139.06,89.8,188.77,11.88,13.43,3.64,117.56,rice
6.29,101.86,85.12,25.02,25.25,5.55,216.78,rice
106.54,58.63,43.47,37.59,63.13,7.59,25.27,jute
52.04,126.67,59.14,35.03,17.87,4.27,207.73,orange
54.94,84.56,175.8,40.13,87.75,8.31,48.81,kidneybeans
105.6,66.53,119.33,10.34,79.47,8.99,38.13,muskmelon
128.58,14.41,96.0,43.82,60.1,5.62,222.89,wheat
133.13,70.06,34.93,21.95,75.52,7.74,199.3,blackgram
80.8,119.9,94.95,44.66,81.01,4.39,270.58,wheat
50.0,91.04,60.7,18.84,30.76,7.64,165.5,kidneybeans
110.26,121.5,193.63,26.5,77.95,3.63,168.41,coconut
35.14,74.16,181.81,22.39,25.58,4.4,217.96,apple
78.97,21.58,21.78,22.45,43.07,7.76,110.55,papaya
50.2,6.91,108.33,39.48,54.66,7.77,30.34,lentil
91.93,47.45,50.01,36.12,67.11,7.35,84.41,mungbean
33.66,102.72,87.16,44.73,12.41,6.36,86.64,coconut
26.82,115.64,180.37,31.47,33.24,7.55,113.98,pomegranate
128.55,46.41,110.5,26.21,58.68,8.14,284.17,mango
14.25,74.39,71.84,13.15,38.59,9.3,245.36,mango
70.83,63.96,46.58,44.88,72.0,8.83,282.07,blackgram
30.92,62.47,165.06,29.3,62.13,8.27,299.61,kidneybeans
5.45,37.39,129.9,34.52,28.75,7.67,141.46,orange
5.04,24.09,98.61,24.24,21.67,6.94,83.58,mungbean
24.53,32.54,48.5,29.17,60.32,4.22,176.8,coconut
121.35,12.75,71.85,42.99,46.04,4.49,266.72,grapes
39.55,32.74,196.97,15.82,23.52,8.42,150.4,wheat
133.06,6.29,109.02,20.23,36.11,8.32,161.51,jute
81.43,92.82,85.14,15.32,34.24,7.19,57.64,muskmelon
61.13,49.29,109.28,37.73,18.65,6.13,137.73,rice
81.21,141.24,160.8,12.17,53.75,3.66,128.36,coffee
72.34,32.12,73.02,12.86,71.09,5.46,118.47,mango
106.23,53.42,40.74,20.45,56.04,6.02,268.44,orange
39.55,55.1,121.99,28.0,76.1,6.41,36.6,rice
49.43,6.18,138.04,24.22,20.21,9.08,292.2,mothbeans
125.17,122.49,147.54,11.57,44.85,4.15,22.31,chickpea
132.5,9.48,181.4,43.51,58.75,6.61,284.77,lentil
124.96,136.63,79.23,43.35,64.08,5.71,173.45,mungbean
58.72,129.89,20.07,19.78,65.66,9.44,216.68,maize
109.25,79.97,196.67,35.6,68.32,8.67,72.4,coffee
66.69,81.1,92.0,30.25,62.11,6.13,203.18,mothbeans
69.66,96.53,129.65,18.31,17.54,9.5,266.95,muskmelon
28.66,59.19,138.26,19.18,65.62,6.58,59.05,coconut
82.76,95.61,114.3,27.19,67.98,4.5,55.58,lentil
26.06,11.27,46.05,24.67,89.48,6.84,105.11,mango
46.42,12.57,156.03,20.19,65.47,4.86,65.28,rice
119.7,69.01,165.75,38.26,64.95,7.32,50.98,mothbeans
28.99,81.95,115.6,26.85,51.19,9.12,209.93,lentil
9.96,129.29,102.71,32.92,79.43,8.22,79.87,banana
9.66,19.65,27.79,16.62,89.75,5.14,206.76,grapes
131.71,120.17,21.79,28.67,72.32,5.28,261.34,jute
70.97,34.41,72.91,21.13,59.0,3.92,202.57,pomegranate
57.32,60.17,67.17,28.42,16.32,5.22,53.42,apple
113.52,49.32,195.73,37.33,68.14,4.06,180.6,blackgram
117.02,61.02,161.72,36.91,66.68,6.5,130.22,mungbean
46.51,26.07,136.98,22.4,72.05,7.75,116.14,lentil
97.11,75.5,108.53,34.3,19.96,8.01,109.19,chickpea
107.96,117.23,38.47,42.95,62.3,3.86,280.24,kidneybeans
91.65,66.81,200.69,31.9,33.66,5.54,227.9,orange
21.22,73.69,80.01,15.19,70.82,5.23,57.48,pigeonpeas
122.62,123.83,26.39,33.79,29.23,4.13,153.28,lentil
75.47,103.85,103.76,13.67,64.72,5.67,109.1,orange
39.55,73.66,179.8,40.52,33.6,5.3,293.82,pomegranate
59.53,41.08,182.46,28.08,10.72,7.31,293.85,kidneybeans
5.26,128.89,7.19,23.48,60.67,8.8,109.47,maize
17.9,85.78,182.26,12.0,19.06,6.23,118.59,orange
107.18,35.96,59.3,23.33,62.74,7.98,187.84,chickpea
0.0,42.68,12.79,41.61,84.05,4.38,154.21,mungbean
58.32,117.44,174.56,10.73,87.54,8.87,79.67,apple
73.15,11.18,177.77,26.61,28.87,4.42,204.92,lentil
7.65,143.89,124.25,42.59,74.74,4.65,113.56,papaya
136.23,23.25,119.89,23.82,38.28,4.14,203.04,rice
31.66,116.45,167.62,24.99,82.04,5.36,127.43,wheat
42.59,60.27,162.26,30.25,73.0,6.81,216.06,pomegranate
42.55,73.91,183.02,26.2,15.91,9.43,206.98,watermelon
32.26,128.29,115.55,15.9,42.57,8.26,162.47,coffee
0.21,62.81,198.53,10.65,36.99,5.78,217.33,rice
102.11,80.25,204.23,31.34,72.81,6.96,149.07,blackgram
135.36,11.9,28.31,42.23,42.82,7.24,52.52,mungbean
31.4,5.33,174.91,13.72,64.77,8.44,70.99,rice
92.83,39.27,104.96,17.38,58.19,7.92,88.88,lentil
103.87,100.28,82.51,22.96,88.05,6.92,37.7,apple
118.78,21.98,127.61,38.31,85.02,7.52,219.19,orange
59.17,20.93,16.19,19.42,44.22,7.98,122.87,muskmelon
42.41,62.53,106.29,40.87,67.89,4.3,46.19,wheat
45.54,95.7,179.18,11.92,76.36,4.7,249.59,jute
99.77,104.69,47.69,42.93,81.91,7.63,211.42,apple
114.35,29.98,90.28,29.63,15.45,8.6,146.62,chickpea
25.43,16.14,192.9,33.06,34.17,5.96,89.28,mothbeans
51.93,136.66,90.71,22.87,35.62,9.38,62.49,blackgram
126.27,41.49,76.67,37.37,44.76,4.8,148.34,maize
112.94,124.47,93.11,15.83,23.54,6.0,267.87,coconut
137.88,125.89,108.89,11.71,49.7,5.77,72.75,cotton
105.59,113.15,131.4,23.84,63.06,9.08,179.22,kidneybeans
55.05,28.64,165.14,39.88,49.79,5.21,289.27,orange
82.69,120.05,95.42,36.42,63.26,6.32,198.39,cotton
92.54,112.7,168.5,28.1,15.32,4.62,143.19,apple
10.98,88.54,111.74,30.02,80.08,6.63,220.58,mothbeans
76.23,52.21,72.7,14.55,85.13,8.64,250.88,grapes
99.3,41.75,136.59,39.42,59.43,5.32,185.34,watermelon
23.42,22.06,148.54,37.54,80.51,8.36,264.11,cotton
109.29,76.37,116.61,32.98,20.52,8.97,164.09,jute
81.73,86.94,16.32,26.32,73.8,3.94,252.41,grapes
133.31,55.31,38.98,43.76,19.53,8.04,286.57,blackgram
5.94,71.55,62.06,40.77,42.64,5.03,160.35,muskmelon
37.15,55.89,61.53,32.56,35.91,4.55,189.4,papaya
84.22,94.74,139.68,23.01,56.85,7.11,190.65,rice
41.52,131.18,8.67,31.63,34.12,7.73,238.8,mungbean
100.02,27.95,156.14,30.14,60.99,5.87,250.43,orange
106.26,58.4,58.07,23.8,39.39,3.74,27.62,wheat
14.35,24.72,67.0,20.73,78.86,8.95,225.34,chickpea
71.94,92.49,110.58,24.25,60.71,7.88,239.47,cotton
71.24,107.04,48.19,30.09,27.22,5.13,216.12,rice
51.7,135.47,181.89,24.98,36.89,6.48,219.83,papaya
130.61,44.04,22.07,19.23,77.79,3.67,31.59,pomegranate
115.85,138.03,93.88,36.63,40.92,5.54,143.77,pigeonpeas
97.61,13.86,174.88,28.6,52.86,6.64,249.09,papaya
100.01,89.42,128.17,12.37,61.92,6.6,281.52,grapes
64.64,13.0,63.47,22.89,37.82,4.75,84.25,coffee
128.94,130.13,89.15,40.97,33.52,8.16,182.17,jute
97.24,79.17,146.34,36.43,48.02,5.29,245.21,cotton
102.06,98.71,199.65,21.31,27.19,6.98,230.67,papaya
120.64,121.42,183.63,42.84,32.74,5.13,193.29,mango
38.37,26.04,73.49,12.68,14.97,6.05,25.23,banana
112.99,10.4,204.64,43.64,34.32,4.75,222.69,lentil
27.33,128.04,5.7,18.6,35.66,7.3,236.51,papaya
48.35,49.09,10.53,10.32,86.95,6.05,222.4,pomegranate
46.99,23.06,169.77,25.18,57.18,3.6,234.43,banana
136.99,70.58,44.89,22.56,72.99,3.67,140.66,mothbeans
119.92,88.76,17.15,28.87,13.63,6.33,298.25,mungbean
98.16,9.34,52.43,37.89,18.52,4.6,235.82,apple
101.79,43.49,90.22,39.49,75.16,7.01,182.03,maize
78.69,9.59,151.11,24.04,59.88,5.95,281.57,pigeonpeas
132.59,63.85,129.87,25.04,25.28,7.43,274.3,banana
69.48,130.31,52.52,15.19,42.38,9.21,248.08,watermelon
53.27,142.57,105.65,11.66,53.09,6.67,177.83,coffee
22.82,94.19,190.24,32.44,77.49,8.22,167.59,mothbeans
110.07,27.63,168.0,12.26,14.83,8.02,112.04,pigeonpeas
102.82,131.82,69.64,35.68,57.74,9.03,90.25,banana
53.81,77.27,201.45,28.87,67.36,4.78,163.46,banana
3.53,26.52,146.72,16.95,88.23,8.46,181.78,chickpea
117.46,134.04,17.49,28.88,74.57,8.93,88.47,cotton
1.6,111.05,12.03,16.4,32.1,5.86,278.33,blackgram
98.52,107.44,38.68,25.36,66.77,5.38,176.04,apple
135.84,104.29,150.57,37.98,71.06,9.21,167.42,wheat
61.27,33.05,41.75,26.17,68.38,7.27,141.98,kidneybeans
32.9,34.54,107.3,15.2,75.61,5.78,36.26,cotton
98.68,101.36,23.65,35.33,82.3,8.25,267.07,coffee
114.4,35.76,189.18,16.54,17.87,5.33,108.76,lentil
76.5,66.41,73.79,35.85,18.38,4.56,199.89,pigeonpeas
135.38,114.48,186.63,26.78,73.71,6.76,190.08,pigeonpeas
7.23,114.75,193.98,25.88,30.19,6.9,183.66,cotton
70.67,68.46,6.23,39.8,14.68,8.45,167.2,kidneybeans
100.58,115.91,97.83,34.8,42.1,6.24,70.8,mungbean
120.77,122.41,9.93,11.15,75.59,8.39,98.57,cotton
25.1,96.67,186.74,20.37,20.13,5.37,166.77,jute
112.0,36.98,108.68,40.48,63.75,6.95,241.02,maize
77.38,43.36,19.99,10.64,10.29,4.75,140.96,grapes
55.52,49.08,27.06,29.08,18.78,5.81,77.1,kidneybeans
18.44,21.35,81.7,35.47,38.07,8.65,44.62,watermelon
121.14,43.24,193.05,31.76,16.69,4.8,205.64,blackgram
22.02,34.33,143.58,36.62,77.67,8.36,138.54,watermelon
43.37,68.75,178.52,35.4,79.13,5.2,55.1,papaya
40.61,132.18,78.29,34.22,70.45,3.71,208.85,muskmelon
122.0,19.63,13.64,38.75,29.4,4.16,78.12,mungbean
94.18,105.84,199.86,32.6,51.86,7.98,162.52,watermelon
111.54,101.22,8.43,24.08,24.74,5.07,105.73,pomegranate
35.07,18.41,194.53,26.52,32.5,7.42,280.87,coffee
87.48,134.16,78.74,35.09,51.28,7.7,83.92,chickpea
80.04,84.59,7.02,40.67,68.8,5.57,137.58,cotton
116.6,55.92,142.83,19.53,17.57,6.35,288.66,lentil
126.85,110.92,201.11,21.97,33.74,5.92,109.24,coffee
1.7,41.03,198.13,42.58,84.13,9.18,200.49,lentil
94.36,102.09,37.19,30.25,44.33,5.42,108.68,wheat
7.26,10.56,41.25,16.26,85.11,4.6,50.99,mungbean
76.84,122.52,118.11,33.23,89.31,5.69,195.71,mungbean
40.27,67.74,132.46,44.68,52.13,7.52,276.49,blackgram
42.95,94.14,152.88,38.82,33.04,7.68,146.72,wheat
49.41,35.97,41.21,36.1,73.26,9.04,195.33,grapes
86.98,99.79,196.8,17.28,22.74,8.79,190.49,coconut
46.77,113.11,132.75,40.66,30.16,5.23,136.23,wheat
102.58,71.25,174.41,28.4,72.79,6.23,192.17,chickpea
56.63,91.48,113.01,41.13,44.69,7.98,92.61,maize
9.57,68.89,87.86,21.54,26.12,9.0,125.85,coffee
109.73,130.17,200.44,12.17,62.09,5.52,143.85,grapes
40.01,74.7,121.42,26.66,68.62,6.17,261.92,cotton
60.59,122.85,178.37,19.44,20.01,8.9,117.53,muskmelon
95.96,117.19,195.66,35.03,32.16,5.65,197.84,watermelon
46.54,62.47,140.07,43.5,27.7,6.38,79.75,mothbeans
7.92,37.21,114.79,34.18,40.39,8.93,90.72,orange
52.35,61.85,5.7,41.04,71.08,8.31,201.56,coconut
132.22,120.67,13.0,25.86,67.1,4.96,233.45,pigeonpeas
89.84,36.87,45.17,37.01,63.0,5.45,149.39,cotton
94.01,78.42,42.2,39.51,10.5,5.62,113.83,muskmelon
88.52,117.85,55.95,34.88,21.37,8.98,274.88,pomegranate
27.86,54.49,65.99,27.77,27.86,9.49,58.03,wheat
58.57,94.91,77.01,31.91,31.76,8.14,221.8,coffee
105.13,39.39,89.11,34.52,21.71,6.41,213.25,wheat
14.19,20.3,24.77,18.86,42.83,3.56,213.27,grapes
38.9,116.21,13.47,38.34,16.01,7.68,281.92,blackgram
38.68,18.86,139.79,43.26,70.0,5.84,223.89,coffee
60.48,42.99,112.47,26.28,73.02,7.3,104.44,banana
137.25,124.72,93.83,34.54,55.94,7.14,118.95,maize
9.45,53.51,131.89,35.8,17.18,6.38,129.51,jute
72.62,141.23,170.54,33.18,81.21,9.17,28.63,kidneybeans
25.11,142.16,90.54,29.15,87.25,3.64,275.78,blackgram
135.89,42.56,133.22,40.86,26.19,7.77,40.59,maize
15.86,10.74,195.71,25.71,66.37,5.96,215.94,orange
56.5,103.71,172.92,12.14,77.36,7.78,224.45,wheat
103.3,68.14,90.2,39.56,53.19,7.55,256.24,chickpea
98.64,19.11,133.94,33.59,35.87,3.56,174.94,mango
59.18,104.05,40.41,39.72,48.28,5.21,223.07,apple
48.51,9.36,117.1,14.85,50.98,4.63,104.76,blackgram
55.67,126.83,201.27,11.08,42.05,4.5,228.76,papaya
37.0,24.41,108.66,42.7,84.39,7.87,116.16,grapes
28.75,22.82,190.53,15.17,69.51,4.94,272.79,mango
67.63,29.59,86.47,38.34,29.3,6.35,65.75,kidneybeans
37.59,139.44,204.77,38.81,56.84,4.98,108.41,orange
40.24,102.04,120.84,34.8,65.1,6.98,159.66,watermelon
91.95,117.19,13.45,14.59,21.21,7.82,237.24,pomegranate
135.6,60.67,122.35,33.36,38.67,5.49,229.66,papaya
84.51,52.08,59.91,41.12,82.44,7.12,79.0,kidneybeans
10.78,37.83,11.5,24.89,55.37,8.45,60.39,mothbeans
10.58,72.29,169.17,24.47,27.36,4.07,105.11,wheat
133.2,82.26,60.15,25.5,19.82,7.76,155.45,papaya
41.62,93.45,164.31,12.88,51.46,5.44,170.92,muskmelon
12.89,41.0,62.64,41.22,53.81,4.24,140.16,maize
83.87,137.81,43.87,40.42,36.75,6.77,205.67,lentil
87.31,28.77,199.79,44.93,60.43,4.86,139.72,banana
90.79,140.19,77.33,30.48,15.49,8.43,284.97,coffee
37.44,7.08,125.28,36.29,21.61,3.76,93.07,wheat
2.12,72.36,127.0,17.09,53.7,4.09,195.66,mungbean
135.1,51.67,117.09,33.36,14.95,6.63,191.19,blackgram
35.13,67.88,187.94,32.74,80.47,7.03,98.84,coffee
94.64,84.89,139.89,41.54,21.37,7.88,135.27,coconut
98.93,65.98,85.75,39.08,63.91,5.06,122.33,banana
85.4,63.08,177.48,42.85,41.3,8.55,68.3,kidneybeans
43.81,107.58,41.21,40.41,41.98,9.22,153.64,coffee
37.95,101.02,113.85,40.4,71.19,6.49,128.27,mango
83.67,121.66,195.11,12.23,49.96,8.06,69.93,kidneybeans
121.25,39.99,130.08,39.61,68.05,6.65,145.97,watermelon
132.54,90.33,168.39,31.26,50.42,3.92,138.12,cotton
14.83,86.93,135.71,23.32,57.43,5.46,56.78,kidneybeans
21.68,56.76,172.87,11.98,70.86,4.02,56.73,kidneybeans
132.26,73.05,193.9,33.72,58.58,9.43,201.3,chickpea
103.11,48.93,59.58,21.49,59.25,4.87,217.84,coffee
123.62,24.86,38.93,26.37,73.14,7.32,283.53,muskmelon
28.37,34.93,101.8,33.86,85.93,5.21,44.36,orange
82.26,19.77,145.37,41.91,40.14,7.42,53.0,lentil
98.16,100.63,50.44,38.89,56.17,4.76,34.51,coconut
95.22,97.5,5.82,25.77,16.9,8.21,169.02,maize
57.14,138.08,73.59,23.57,38.7,4.16,194.37,lentil
2.16,107.15,198.77,18.39,42.96,8.87,132.99,mango
81.61,12.29,143.99,23.03,76.82,8.54,243.41,coffee
35.43,128.79,85.27,13.89,51.07,7.57,212.28,maize
63.04,125.77,43.52,43.99,68.49,3.9,296.04,chickpea
134.06,67.06,76.22,30.09,11.52,4.75,58.61,mango
55.86,87.02,38.97,14.47,47.16,8.66,36.33,grapes
117.57,141.65,26.26,22.35,82.11,4.23,96.95,chickpea
26.4,79.52,186.35,29.15,27.95,4.44,25.33,banana
94.14,131.75,204.53,28.65,12.52,6.76,281.13,muskmelon
136.78,16.63,37.82,11.24,44.67,5.15,105.11,lentil
14.27,31.75,15.9,43.28,66.35,4.83,174.68,coffee
1.16,66.71,70.95,19.64,46.36,6.95,109.06,coconut
60.7,86.87,97.33,10.57,46.8,5.74,88.83,apple
12.97,119.27,45.96,12.68,63.58,4.34,62.66,mothbeans
104.77,143.36,65.28,30.31,30.35,6.71,109.7,chickpea
128.04,59.44,45.17,14.82,70.15,5.82,192.32,banana
60.76,11.64,159.85,11.46,22.25,7.91,292.05,lentil
36.22,117.16,147.52,23.29,41.66,4.12,176.27,wheat
60.82,89.61,131.99,31.8,62.48,7.22,169.16,grapes
101.28,32.8,82.44,13.91,76.27,6.12,29.87,mungbean
1.27,74.28,186.81,20.97,73.32,5.94,255.23,lentil
82.52,108.92,198.91,24.62,67.73,4.89,32.56,pigeonpeas
85.86,112.86,39.73,15.58,38.73,3.68,273.75,coffee
89.28,74.95,49.6,27.71,19.78,8.59,170.83,coffee
33.88,47.73,110.13,12.98,27.35,5.46,67.17,wheat
99.97,141.32,23.25,11.63,79.19,7.59,146.48,grapes
12.79,97.87,92.29,28.19,78.59,9.19,298.6,pomegranate
27.9,62.15,121.36,18.68,86.12,6.89,105.42,wheat
122.85,44.26,109.41,13.34,16.08,5.88,95.45,chickpea
103.42,107.35,71.18,24.84,52.94,5.11,53.04,pigeonpeas
1.92,38.91,113.49,42.03,61.89,9.1,187.2,chickpea
34.77,29.04,196.76,35.35,66.85,7.59,44.98,jute
30.02,79.18,46.2,38.55,61.51,7.49,234.48,kidneybeans
37.91,45.6,135.97,40.52,71.6,6.06,277.38,pigeonpeas
34.66,93.05,13.68,44.04,38.76,8.57,280.92,blackgram
8.75,21.51,18.28,36.71,24.35,7.78,50.22,jute
64.25,96.69,115.37,31.29,26.37,5.2,176.31,jute
102.58,44.66,25.99,22.79,10.96,7.1,47.19,muskmelon
84.94,5.03,9.47,16.36,38.03,6.08,180.16,pomegranate
94.2,22.77,39.3,34.03,17.34,3.54,248.19,pomegranate
11.36,135.71,117.97,44.82,35.72,8.35,170.58,cotton
133.21,126.43,145.67,26.36,60.26,4.24,264.18,cotton
117.39,37.71,45.5,35.33,81.56,6.56,244.47,lentil
112.71,113.97,138.65,27.33,77.17,5.52,97.43,rice
115.22,90.2,41.5,25.12,30.21,5.55,196.43,jute
130.58,140.93,127.69,24.36,20.73,6.36,22.08,apple
76.2,57.3,87.39,27.66,25.45,9.48,130.89,mungbean
28.04,100.4,135.76,22.84,87.68,5.95,86.63,muskmelon
86.35,13.9,204.01,36.21,53.96,4.59,282.39,pigeonpeas
104.0,60.47,192.56,40.6,24.6,7.18,133.51,grapes
